time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447350000	19.574	8.71626	4.66347	1.14681	0.382685	radar	0.492524	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7383	8.88891	4.63675	1.12584	0.330711	lidar	3.96862	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8122	9.10734	4.60125	1.16352	0.373105	radar	1.03981	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9409	9.34024	4.65598	1.17182	0.359612	lidar	3.21086	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9853	9.56032	4.58713	1.22463	0.429859	radar	2.48425	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0689	9.80819	4.64303	1.25113	0.436248	lidar	0.971897	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1303	10.0592	4.71314	1.27707	0.429277	radar	7.34987	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1735	10.3423	4.80093	1.32211	0.459037	lidar	1.0413	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1867	10.5813	4.7638	1.37755	0.521159	radar	2.61349	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.242	10.8597	4.844	1.40761	0.525376	lidar	2.12854	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2705	11.1206	4.89514	1.43497	0.515475	radar	4.90339	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3049	11.3576	4.8861	1.4577	0.511815	lidar	0.0144155	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2448	11.6114	4.83776	1.54838	0.638835	radar	9.58579	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3181	11.8464	4.82963	1.5484	0.599383	lidar	5.22174	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3484	12.0802	4.86083	1.5398	0.507851	radar	4.1913	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
